property,version,truth,footnote-md
cancel-not-revert,v1,1,
cancel-not-revert,v2,1,
cancel-not-revert,v3,1,
cancel-revert,v1,1,
cancel-revert,v2,1,
cancel-revert,v3,1,
cancel-revert,v5,0,
finalize-assets-transfer,v1,0,
finalize-assets-transfer,v2,0,
finalize-assets-transfer,v3,0,
finalize-before-deadline-revert,v1,1,
finalize-before-deadline-revert,v2,1,
finalize-before-deadline-revert,v3,0,
finalize-before-deadline-revert,v7,0,
finalize-not-revert,v1,0,
finalize-not-revert,v2,0,
finalize-not-revert,v3,0,
finalize-or-cancel-twice-revert,v1,1,
finalize-or-cancel-twice-revert,v2,1,
finalize-or-cancel-twice-revert,v3,1,
finalize-revert,v1,1,
finalize-revert,v2,1,
finalize-revert,v3,0,
finalize-sent-leq-amount,v1,1,
finalize-sent-leq-amount,v4,0,
keys-distinct,v1,1,
keys-distinct,v2,0,
keys-distinct,v3,1,
keys-invariant-inter,v1,1,
keys-invariant-inter,v2,1,
keys-invariant-inter,v3,1,
keys-invariant-intra,v1,1,
keys-invariant-intra,v2,1,
keys-invariant-intra,v3,1,
receive-not-revert,v1,1,
receive-not-revert,v2,1,
receive-not-revert,v3,1,
state-idle-req-inter,v1,1,
state-idle-req-inter,v2,1,
state-idle-req-inter,v3,1,
state-idle-req-intra,v1,1,
state-idle-req-intra,v2,1,
state-idle-req-intra,v3,1,
state-req-amount-consistent,v1,1,
state-req-amount-consistent,v2,1,
state-req-amount-consistent,v3,1,
state-update,v1,0,
state-update,v2,0,
state-update,v3,0,
state-update,v4,0,
withdraw-finalize-not-revert,v1,0,
withdraw-finalize-not-revert,v2,0,
withdraw-finalize-not-revert,v3,0,
withdraw-finalize-revert-inter,v1,1,
withdraw-finalize-revert-inter,v2,1,
withdraw-finalize-revert-inter,v3,0,
withdraw-not-revert,v1,1,
withdraw-not-revert,v2,1,
withdraw-not-revert,v3,1,
withdraw-revert,v1,1,
withdraw-revert,v2,1,
withdraw-revert,v3,1,
withdraw-revert,v6,0,
withdraw-withdraw-revert,v1,1,
withdraw-withdraw-revert,v2,1,
withdraw-withdraw-revert,v3,1,
okey-rkey-private-withdraw,v1,1,
okey-rkey-private-withdraw,v2,1,
okey-rkey-private-withdraw,v3,0,
rkey-no-withdraw,v1,1,
rkey-no-withdraw,v2,1,
rkey-no-withdraw,v3,0,
tx-idle-req,v1,1,
tx-req-idle,v1,1,
tx-owner-assets-transfer,v1,0,
tx-recovery-cancel,v1,1,
tx-tx-assets-transfer,v1,0,
