property,version,truth,footnote-md
no_withdraw_before_end_of_unwinding_epoch,v1,1,
integrity_of_toEpoch_in_startUnwinding,v1,1
unwinding_epoch_cannot_decrease,v1,1
reward_weight_monotonic_increasing_with_iUSD,v1,1
reward_weight_monotonic_increasing_with_multiplier,v1,1
apply_losses_access,v1,1
cancel_unwinding_access,v1,1
create_position_access,v1,"TODO"
deposit_rewards_access,v1,1
enable_bucket_access,v1,"TODO"
increase_unwinding_access,v1,1
set_bucket_multiplier_access,v1,1
start_unwinding_access,v1,"TODO"
withdraw_access,v1,1
no_immediate_redemption_from_non_empty_queue,v1,1
mintingNonzeroAssetAlwaysResultsInNonzeroReceipt,v1,1
apply_losses_access_UnwindingModule,v1,1
cancel_unwinding_access_UnwindingModule,v1,1
deposit_rewards_access_UnwindingModule,v1,"TODO"
start_unwinding_access_UnwindingModule,v1,1
withdraw_access_UnwindingModule,v1,"TODO"
start_and_cancel_unwinding_is_nop_rwBias,v1,0
no_rewards_for_same_epoch,v1,1
cannotCallExitingMethodWithUnappliedLosses,v1,1
totalAssetsIsSumOfFarmAssets,v1,1
uw_total_voting_exceeds_sum_user_voting,v1,0
uw_total_voting_exceeds_sum_user_voting_applyLosses,v1,0
uw_total_voting_exceeds_sum_user_voting_applyLosses_inUnwindingModule,v1,0
uw_total_voting_exceeds_sum_user_voting_applyLosses_inUnwindingModule_HintRounding,v1,0
uw_total_voting_exceeds_sum_user_voting_applyLosses_inUnwindingModule_HintRounding_hintReasoning,v1,0
uw_total_voting_exceeds_sum_user_voting_noapplyLosses,v1,1
uw_total_voting_exceeds_sum_user_voting_noapplyLosses_noassumptions,v1,1
uw_total_voting_exceeds_sum_user_voting_nonorm,v1,"TODO"
strict_solvency_mint_4626,v1,0
strict_solvency_mint_aave,v1,0
strict_solvency_redeem_4626,v1,"TODO"
strict_solvency_redeem_aave,v1,"TODO"
solvency_mint_single_hop_growth,v1,"TODO"
solvency_mintAndLock_single_hop_growth,v1,"TODO"
solvency_mintAndStake_single_hop_growth,v1,"TODO"
solvency_redeem_single_hop_growth,v1,"TODO"
solvency_mint_single_hop_growth_AaveV3Farm,v1,"TODO"
solvency_mintAndLock_single_hop_growth_AaveV3Farm,v1,"TODO"
solvency_mintAndStake_single_hop_growth_AaveV3Farm,v1,"TODO"
solvency_redeem_single_hop_growth_AaveV3Farm,v1,"TODO"
global_reward_weight_le_user_reward_weight_strong,v1,0
global_reward_weight_le_total_locked_iUSD_with_rewards_after,v1,0
solvency_YieldSharing,v1,"TODO"
solvency_AllocationVoting,v1,1
solvency_only_redeem_deg,v1,1
solvency_only_mint_deg,v1,1
solvency_depeg_redeem_controller_only,v1,"TODO"
solvency_depeg_mint_controller_only,v1,"TODO"
MYbuckets_multiplier_bounded,v1,1
